frame,timestamp,hip_angle,knee_angle,elbow_angle
235,7.7983,169.2388,176.4577,125.0402
236,7.8316,170.7463,179.0578,140.9502
237,7.865,172.2131,179.1373,151.2195
238,7.8983,174.8984,179.5279,159.8702
239,7.9316,178.0069,175.3478,161.6541
240,7.9649,172.1829,170.0928,164.2519
241,7.9983,165.2854,163.3615,170.7525
242,8.0316,160.0555,159.4496,169.8564
243,8.0649,154.3848,156.8223,170.6532
244,8.0982,150.261,152.8216,170.7906
245,8.1316,143.5164,143.7002,172.4004
246,8.1649,137.3222,135.1482,173.777
247,8.1982,129.7962,125.372,176.0072
248,8.2315,124.125,117.2857,176.1609
249,8.2649,117.2978,107.4325,176.4683
250,8.2982,108.3153,95.6278,175.7625
251,8.3315,96.5469,88.3259,173.5912
252,8.3648,83.4923,78.8447,174.3002
253,8.3982,72.5307,72.1967,173.3657
254,8.4315,60.5941,66.5316,170.8765
255,8.4648,53.7501,63.916,171.8877
256,8.4981,47.4645,58.1871,173.8684
257,8.5315,41.1764,53.4249,170.3963
258,8.5648,35.462,49.4405,168.5465
259,8.5981,30.0544,46.6169,166.2592
260,8.6315,26.2643,46.2247,159.7858
261,8.6648,24.2568,45.213,156.6958
262,8.6981,22.3763,45.3811,167.7689
263,8.7314,23.0786,47.7181,167.1575
264,8.7648,22.484,50.5127,171.5405
265,8.7981,23.351,54.7227,172.0264
266,8.8314,24.4999,57.8154,169.0026
267,8.8647,26.0186,64.4848,175.8575
268,8.8981,29.716,69.6853,176.0841
269,8.9314,32.3685,74.9414,178.5343
270,8.9647,37.2858,82.209,177.5336
271,8.998,41.7027,86.0101,174.816
272,9.0314,44.9175,87.9647,178.4827
273,9.0647,50.1617,91.0401,177.2953
274,9.098,55.3325,92.88,176.3041
275,9.1313,60.9193,96.6736,175.4899
277,9.198,90.6705,107.3574,179.9689
278,9.2313,92.4624,107.8256,178.392
279,9.2646,99.0516,111.6493,177.1917
280,9.298,109.7757,119.9411,178.0542
281,9.3313,121.4236,128.9381,179.0924
282,9.3646,135.0054,139.4301,179.4805
283,9.398,146.0271,149.1909,178.7487
284,9.4313,148.8848,149.8122,179.8626
285,9.4646,154.4597,151.4207,178.7191
286,9.4979,162.11,159.5103,179.8569
287,9.5313,169.2212,163.7534,179.2305
288,9.5646,174.0666,168.3412,179.6025
289,9.5979,179.7225,171.072,179.899
290,9.6312,177.1814,172.5859,179.5903
291,9.6646,174.8848,174.0105,178.985
292,9.6979,173.9244,174.5624,179.3142
293,9.7312,171.5772,176.3686,179.2465
294,9.7645,170.9434,176.4375,179.7212
295,9.7979,171.4502,176.1011,179.4466
296,9.8312,171.7935,175.966,178.9471
297,9.8645,173.7089,173.9025,178.5067
298,9.8978,175.2234,173.0638,178.3944
299,9.9312,176.6285,171.1507,179.1644
300,9.9645,178.4327,169.7998,179.2493
301,9.9978,179.6612,169.4433,179.2098
302,10.0311,178.5317,168.6811,179.5098
303,10.0645,177.708,168.9433,179.4559
304,10.0978,176.4498,169.3913,179.526
305,10.1311,175.8925,169.4743,179.3546
306,10.1645,175.4449,169.0002,179.3768
307,10.1978,174.2416,167.1581,178.9882
308,10.2311,173.0828,164.7773,178.701
309,10.2644,172.6901,164.5458,178.4854
310,10.2978,171.3314,161.8091,178.2455
311,10.3311,169.2851,158.3178,178.0201
312,10.3644,163.6626,151.554,177.995
313,10.3977,158.8968,146.2134,177.9701
314,10.4311,151.2855,139.0876,178.4527
